Date,5 YR,AAA,AA,BBB,HY
1996-12-31,6.21,6.72,6.82,7.26,9.55
1997-01-02,6.3,6.8,6.92,7.36,9.57
1997-01-03,6.28,6.8,6.9,7.34,9.58
1997-01-06,6.3,6.8,6.92,7.37,9.61
1997-01-07,6.32,6.82,6.95,7.39,9.63
1997-01-08,6.34,6.84,6.97,7.41,9.63
1997-01-09,6.27,6.81,6.91,7.35,9.6
1997-01-10,6.4,6.9,7.03,7.44,9.64
1997-01-13,6.4,6.9,7.01,7.44,9.64
1997-01-14,6.3,6.83,6.93,7.35,9.59
1997-01-15,6.3,6.83,6.92,7.35,9.56
1997-01-16,6.33,6.84,6.96,7.39,9.56
1997-01-17,6.32,6.83,6.95,7.38,9.56
1997-01-21,6.29,6.82,6.91,7.34,9.53
1997-01-22,6.32,6.83,6.94,7.37,9.52
1997-01-23,6.35,6.86,6.97,7.4,9.53
1997-01-24,6.39,6.91,7.01,7.44,9.53
1997-01-27,6.42,6.96,7.06,7.48,9.54
1997-01-28,6.38,6.91,7.01,7.43,9.52
1997-01-29,6.38,6.9,7.01,7.43,9.49
1997-01-30,6.35,6.86,6.99,7.4,9.49
1997-01-31,6.26,6.81,6.91,7.33,9.49
1997-02-03,6.21,6.76,6.85,7.27,9.45
1997-02-04,6.19,6.74,6.83,7.25,9.44
1997-02-05,6.21,6.77,6.85,7.28,9.43
1997-02-06,6.22,6.77,6.86,7.28,9.42
1997-02-07,6.17,6.72,6.81,7.23,9.39
1997-02-10,6.16,6.72,6.8,7.23,9.37
1997-02-11,6.18,6.72,6.81,7.23,9.36
1997-02-12,6.19,6.74,6.82,7.24,9.35
1997-02-13,6.12,6.65,6.74,7.15,9.31
1997-02-14,6.07,6.57,6.68,7.1,9.27
1997-02-18,6.08,6.59,6.69,7.11,9.27
1997-02-19,6.1,6.62,6.72,7.14,9.26
1997-02-20,6.17,6.69,6.78,7.2,9.25
1997-02-21,6.16,6.69,6.78,7.19,9.23
1997-02-24,6.19,6.71,6.8,7.21,9.22
1997-02-25,6.2,6.72,6.81,7.22,9.21
1997-02-26,6.37,6.88,6.97,7.37,9.24
1997-02-27,6.4,6.9,6.99,7.39,9.27
1997-02-28,6.39,6.93,6.99,7.39,9.34
1997-03-03,6.41,6.94,7.0,7.4,9.32
1997-03-04,6.44,6.97,7.02,7.43,9.31
1997-03-05,6.43,6.96,7.01,7.42,9.32
1997-03-06,6.45,6.99,7.04,7.45,9.33
1997-03-07,6.39,6.94,6.99,7.39,9.31
1997-03-10,6.4,6.94,6.99,7.39,9.31
1997-03-11,6.4,6.94,7.0,7.4,9.3
1997-03-12,6.43,6.98,7.03,7.43,9.31
1997-03-13,6.55,7.09,7.14,7.54,9.35
1997-03-14,6.53,7.07,7.12,7.52,9.36
1997-03-17,6.55,7.08,7.13,7.53,9.37
1997-03-18,6.56,7.08,7.13,7.53,9.38
1997-03-19,6.58,7.11,7.15,7.55,9.41
1997-03-20,6.61,7.11,7.16,7.55,9.43
1997-03-21,6.61,7.11,7.16,7.55,9.44
1997-03-24,6.58,7.09,7.14,7.53,9.44
1997-03-25,6.63,7.13,7.17,7.56,9.45
1997-03-26,6.66,7.17,7.22,7.6,9.51
1997-03-27,6.76,7.27,7.32,7.7,9.58
1997-03-31,6.77,7.25,7.33,7.72,9.78
1997-04-01,6.74,7.23,7.3,7.69,9.8
1997-04-02,6.73,7.22,7.3,7.69,9.82
1997-04-03,6.72,7.21,7.28,7.68,9.83
1997-04-04,6.78,7.26,7.34,7.74,9.86
1997-04-07,6.73,7.21,7.29,7.69,9.82
1997-04-08,6.76,7.24,7.32,7.72,9.84
1997-04-09,6.77,7.24,7.32,7.72,9.83
1997-04-10,6.78,7.24,7.33,7.72,9.83
1997-04-11,6.85,7.31,7.4,7.79,9.87
1997-04-14,6.86,7.32,7.4,7.8,9.88
1997-04-15,6.76,7.22,7.3,7.7,9.81
1997-04-16,6.79,7.24,7.32,7.72,9.8
1997-04-17,6.75,7.2,7.28,7.67,9.79
1997-04-18,6.73,7.18,7.26,7.65,9.75
1997-04-21,6.76,7.21,7.29,7.69,9.75
1997-04-22,6.73,7.2,7.29,7.67,9.73
1997-04-23,6.78,7.24,7.34,7.72,9.74
1997-04-24,6.83,7.27,7.38,7.76,9.74
1997-04-25,6.83,7.29,7.39,7.77,9.74
1997-04-28,6.81,7.26,7.37,7.75,9.75
1997-04-29,6.64,7.12,7.23,7.6,9.69
1997-04-30,6.57,7.07,7.15,7.55,9.67
1997-05-01,6.55,7.04,7.12,7.52,9.61
1997-05-02,6.54,7.01,7.1,7.5,9.58
1997-05-05,6.54,7.01,7.11,7.5,9.55
1997-05-06,6.56,7.02,7.11,7.5,9.53
1997-05-07,6.63,7.08,7.18,7.57,9.55
1997-05-08,6.59,7.06,7.15,7.54,9.53
1997-05-09,6.51,7.0,7.09,7.48,9.48
1997-05-12,6.5,6.98,7.07,7.46,9.47
1997-05-13,6.6,7.04,7.13,7.52,9.44
1997-05-14,6.54,6.99,7.09,7.48,9.41
1997-05-15,6.52,6.99,7.08,7.47,9.38
1997-05-16,6.55,7.02,7.11,7.5,9.37
1997-05-19,6.57,7.03,7.13,7.51,9.37
1997-05-20,6.54,7.01,7.11,7.49,9.36
1997-05-21,6.57,7.05,7.15,7.53,9.38
1997-05-22,6.61,7.07,7.18,7.55,9.38
1997-05-23,6.59,7.06,7.17,7.54,9.36
1997-05-27,6.64,7.1,7.21,7.58,9.37
1997-05-28,6.65,7.11,7.22,7.58,9.37
1997-05-29,6.61,7.07,7.17,7.54,9.34
1997-05-30,6.51,7.0,7.1,7.48,9.3
1997-06-02,6.52,6.97,7.09,7.46,9.35
1997-06-03,6.49,6.94,7.06,7.43,9.33
1997-06-04,6.49,6.94,7.06,7.43,9.31
1997-06-05,6.49,6.94,7.06,7.43,9.3
1997-06-06,6.39,6.85,6.96,7.33,9.26
1997-06-09,6.44,6.89,7.0,7.37,9.22
1997-06-10,6.46,6.9,7.02,7.39,9.2
1997-06-11,6.45,6.89,7.01,7.38,9.18
1997-06-12,6.35,6.81,6.92,7.3,9.14
1997-06-13,6.3,6.77,6.89,7.26,9.12
1997-06-16,6.28,6.74,6.85,7.23,9.09
1997-06-17,6.31,6.77,6.88,7.25,9.08
1997-06-18,6.29,6.74,6.85,7.23,9.09
1997-06-19,6.29,6.74,6.85,7.23,9.1
1997-06-20,6.27,6.72,6.83,7.2,9.09
1997-06-23,6.3,6.75,6.85,7.23,9.11
1997-06-24,6.31,6.75,6.86,7.23,9.1
